cluster_a,edad,sexo,remuneracion_c_remunerado,remuneracion_c_no_remunerado,remuneracion_c_indeterminado,remuneracion_p_remunerado,remuneracion_p_no_remunerado,remuneracion_p_indeterminado,escolaridad_c_no_escolaridad,escolaridad_c_basico,escolaridad_c_avanzado,escolaridad_c_indeterminado,escolaridad_p_no_escolaridad,escolaridad_p_basico,escolaridad_p_avanzado,escolaridad_p_indeterminado,salud_c_atencion_formal,salud_c_atencion_no_formal,salud_c_atencion_indeterminado,salud_p_atencion_formal,salud_p_atencion_no_formal,salud_p_atencion_indeterminado,pareja_c_si,pareja_c_no,pareja_c_indeterminado,pareja_p_si,pareja_p_no,pareja_p_indeterminado,hijos_c_0,hijos_c_1,hijos_c_2,hijos_c_3_o_mas,hijos_p_0,hijos_p_1,hijos_p_2,hijos_p_3_o_mas,inmigracion1_c_no,inmigracion1_c_si,inmigracion1_c_indeterminado,inmigracion1_p_no,inmigracion1_p_si,inmigracion1_p_indeterminado,inmigracion5_c_no,inmigracion5_c_si,inmigracion5_c_indeterminado,inmigracion5_p_no,inmigracion5_p_si,inmigracion5_p_indeterminado,remuneracion_x_pareja_c_remunerado_x_si,remuneracion_x_pareja_c_no_remunerado_x_si,remuneracion_x_pareja_c_remunerado_x_no,remuneracion_x_pareja_c_no_remunerado_x_no,remuneracion_dado_pareja_p_remunerado_dado_si,remuneracion_dado_pareja_p_no_remunerado_dado_si,remuneracion_dado_pareja_p_remunerado_dado_no,remuneracion_dado_pareja_p_no_remunerado_dado_no,escolaridad_x_hijos_c_no_escolaridad_x_0,escolaridad_x_hijos_c_basico_x_0,escolaridad_x_hijos_c_avanzado_x_0,escolaridad_x_hijos_c_no_escolaridad_x_1,escolaridad_x_hijos_c_basico_x_1,escolaridad_x_hijos_c_avanzado_x_1,escolaridad_x_hijos_c_no_escolaridad_x_2,escolaridad_x_hijos_c_basico_x_2,escolaridad_x_hijos_c_avanzado_x_2,escolaridad_x_hijos_c_no_escolaridad_x_3_o_mas,escolaridad_x_hijos_c_basico_x_3_o_mas,escolaridad_x_hijos_c_avanzado_x_3_o_mas,escolaridad_dado_hijos_p_no_escolaridad_dado_0,escolaridad_dado_hijos_p_basico_dado_0,escolaridad_dado_hijos_p_avanzado_dado_0,escolaridad_dado_hijos_p_no_escolaridad_dado_1,escolaridad_dado_hijos_p_basico_dado_1,escolaridad_dado_hijos_p_avanzado_dado_1,escolaridad_dado_hijos_p_no_escolaridad_dado_2,escolaridad_dado_hijos_p_basico_dado_2,escolaridad_dado_hijos_p_avanzado_dado_2,escolaridad_dado_hijos_p_no_escolaridad_dado_3_o_mas,escolaridad_dado_hijos_p_basico_dado_3_o_mas,escolaridad_dado_hijos_p_avanzado_dado_3_o_mas,remuneracion_x_escolaridad_c_remunerado_x_no_escolaridad,remuneracion_x_escolaridad_c_no_remunerado_x_no_escolaridad,remuneracion_x_escolaridad_c_remunerado_x_basico,remuneracion_x_escolaridad_c_no_remunerado_x_basico,remuneracion_x_escolaridad_c_remunerado_x_avanzado,remuneracion_x_escolaridad_c_no_remunerado_x_avanzado,remuneracion_dado_escolaridad_p_remunerado_dado_no_escolaridad,remuneracion_dado_escolaridad_p_no_remunerado_dado_no_escolarid,remuneracion_dado_escolaridad_p_remunerado_dado_basico,remuneracion_dado_escolaridad_p_no_remunerado_dado_basico,remuneracion_dado_escolaridad_p_remunerado_dado_avanzado,remuneracion_dado_escolaridad_p_no_remunerado_dado_avanzado,salud_x_escolaridad_c_atencion_formal_x_no_escolaridad,salud_x_escolaridad_c_atencion_no_formal_x_no_escolaridad,salud_x_escolaridad_c_atencion_formal_x_basico,salud_x_escolaridad_c_atencion_no_formal_x_basico,salud_x_escolaridad_c_atencion_formal_x_avanzado,salud_x_escolaridad_c_atencion_no_formal_x_avanzado,salud_dado_escolaridad_p_atencion_formal_dado_no_escolaridad,salud_dado_escolaridad_p_atencion_no_formal_dado_no_escolaridad,salud_dado_escolaridad_p_atencion_formal_dado_basico,salud_dado_escolaridad_p_atencion_no_formal_dado_basico,salud_dado_escolaridad_p_atencion_formal_dado_avanzado,salud_dado_escolaridad_p_atencion_no_formal_dado_avanzado,poblacion_total
3,12,M,371425,391424,14514,0.48,0.5,0.02,24766,553207,186889,12501,0.03,0.71,0.24,0.02,116744,12283,648336,0.15,0.02,0.83,414322,352519,10522,0.53,0.45,0.01,110591,115389,220968,330415,0.14,0.15,0.28,0.43,752323,13703,11337,0.97,0.02,0.01,716232,49549,11582,0.92,0.06,0.01,170443,242581,200849,148770,0.41,0.59,0.57,0.42,5016,58466,36430,2459,70602,41938,4314,149055,66977,12977,275084,41544,0.05,0.53,0.33,0.02,0.61,0.36,0.02,0.67,0.3,0.04,0.83,0.13,9023,15117,225908,324473,135344,50798,0.36,0.61,0.41,0.59,0.72,0.27,26852,2757,26852,2757,26852,2757,1.08,0.11,0.05,0,0.14,0.01,777363
3,13,H,398230,86723,13946,0.8,0.17,0.03,21423,350866,119333,7277,0.04,0.7,0.24,0.01,66038,7024,425837,0.13,0.01,0.85,357873,134907,6119,0.72,0.27,0.01,498899,0,0,0,1,0,0,0,482291,8516,8092,0.97,0.02,0.02,459267,31444,8188,0.92,0.06,0.02,297655,55777,100375,30909,0.83,0.16,0.74,0.23,21423,350866,119333,0,0,0,0,0,0,0,0,0,0.04,0.7,0.24,0,0,0,0,0,0,0,0,0,14479,5895,277556,66997,105183,13445,0.68,0.28,0.79,0.19,0.88,0.11,15064,1427,15064,1427,15064,1427,0.7,0.07,0.04,0,0.13,0.01,498899
3,13,M,272572,347098,11347,0.43,0.55,0.02,26705,459900,135415,8997,0.04,0.73,0.21,0.01,104715,9770,516532,0.17,0.02,0.82,307894,315605,7518,0.49,0.5,0.01,88047,81768,158516,302686,0.14,0.13,0.25,0.48,612130,10544,8343,0.97,0.02,0.01,582911,39637,8469,0.92,0.06,0.01,110572,196209,161899,150810,0.36,0.64,0.51,0.48,4785,49541,26148,2311,52505,26744,3625,108140,46322,15984,249714,36201,0.05,0.56,0.3,0.03,0.64,0.33,0.02,0.68,0.29,0.05,0.82,0.12,7500,18426,163546,293599,100769,34157,0.28,0.69,0.36,0.64,0.74,0.25,20489,1815,20489,1815,20489,1815,0.77,0.07,0.04,0,0.15,0.01,631017
3,14,H,292103,70709,11658,0.78,0.19,0.03,19673,266588,83448,4761,0.05,0.71,0.22,0.01,57715,4977,311778,0.15,0.01,0.83,271751,98823,3896,0.73,0.26,0.01,374470,0,0,0,1,0,0,0,362956,5857,5657,0.97,0.02,0.02,345351,23343,5776,0.92,0.06,0.02,221354,46008,70603,24677,0.81,0.17,0.71,0.25,19673,266588,83448,0,0,0,0,0,0,0,0,0,0.05,0.71,0.22,0,0,0,0,0,0,0,0,0,12108,6347,203939,56508,75349,7564,0.62,0.32,0.76,0.21,0.9,0.09,11594,943,11594,943,11594,943,0.59,0.05,0.04,0,0.14,0.01,374470
3,14,M,188653,280604,8955,0.39,0.59,0.02,26336,360179,85611,6086,0.06,0.75,0.18,0.01,88827,6952,382433,0.19,0.01,0.8,211709,261512,4991,0.44,0.55,0.01,68034,54214,102603,253361,0.14,0.11,0.21,0.53,465098,7143,5971,0.97,0.01,0.01,444454,27638,6120,0.93,0.06,0.01,65306,145374,123290,135164,0.31,0.69,0.47,0.52,4091,41307,17620,1973,37314,14769,2947,72582,26825,17325,208976,26397,0.06,0.61,0.26,0.04,0.69,0.27,0.03,0.71,0.26,0.07,0.82,0.1,5608,19890,117608,239769,64958,20202,0.21,0.76,0.33,0.67,0.76,0.24,14090,1016,14090,1016,14090,1016,0.54,0.04,0.04,0,0.16,0.01,478212
3,15,H,194207,60662,10126,0.73,0.23,0.04,18130,192884,50848,3133,0.07,0.73,0.19,0.01,47729,3209,214057,0.18,0.01,0.81,190669,71805,2521,0.72,0.27,0.01,264995,0,0,0,1,0,0,0,257014,3740,4241,0.97,0.01,0.02,246031,14700,4264,0.93,0.06,0.02,146745,39790,47392,20848,0.77,0.21,0.66,0.29,18130,192884,50848,0,0,0,0,0,0,0,0,0,0.07,0.73,0.19,0,0,0,0,0,0,0,0,0,9793,6922,137905,49115,46027,4434,0.54,0.38,0.71,0.25,0.91,0.09,7927,456,7927,456,7927,456,0.44,0.03,0.04,0,0.16,0.01,264995
3,15,M,122928,216608,8183,0.35,0.62,0.02,26851,269942,46749,4177,0.08,0.78,0.13,0.01,72688,4984,270047,0.21,0.01,0.78,131991,212494,3234,0.38,0.61,0.01,51586,32784,58390,204959,0.15,0.09,0.17,0.59,338426,4505,4788,0.97,0.01,0.01,325154,17716,4849,0.94,0.05,0.01,33877,97067,89022,119501,0.26,0.74,0.42,0.56,3904,33467,10896,1747,24309,6631,2353,43264,12609,18847,168902,16613,0.08,0.65,0.21,0.05,0.74,0.2,0.04,0.74,0.22,0.09,0.82,0.08,4590,21130,83097,183518,34919,11301,0.17,0.79,0.31,0.68,0.75,0.24,8495,547,8495,547,8495,547,0.32,0.02,0.03,0,0.18,0.01,347719
3,16,H,121805,52633,9494,0.66,0.29,0.05,16699,136650,28330,2253,0.09,0.74,0.15,0.01,38662,2268,143002,0.21,0.01,0.78,127631,54566,1735,0.69,0.3,0.01,183932,0,0,0,1,0,0,0,177832,2344,3756,0.97,0.01,0.02,170767,9384,3781,0.93,0.05,0.02,90211,33537,31539,19080,0.71,0.26,0.58,0.35,16699,136650,28330,0,0,0,0,0,0,0,0,0,0.09,0.74,0.15,0,0,0,0,0,0,0,0,0,7277,7681,88991,41978,25220,2780,0.44,0.46,0.65,0.31,0.89,0.1,5088,247,5088,247,5088,247,0.3,0.01,0.04,0,0.18,0.01,183932
3,16,M,80611,164624,8817,0.32,0.65,0.03,27621,200337,22800,3294,0.11,0.79,0.09,0.01,59538,3510,191004,0.23,0.01,0.75,76171,175514,2367,0.3,0.69,0.01,38095,19512,30174,166271,0.15,0.08,0.12,0.65,246599,2955,4498,0.97,0.01,0.02,237732,11745,4575,0.94,0.05,0.02,15669,59384,64924,105209,0.21,0.78,0.37,0.6,3937,25786,5940,1686,15131,2614,1926,23364,4788,20072,136056,9458,0.1,0.68,0.16,0.09,0.78,0.13,0.06,0.77,0.16,0.12,0.82,0.06,4037,22013,59983,136011,16336,5916,0.15,0.8,0.3,0.68,0.72,0.26,4526,248,4526,248,4526,248,0.16,0.01,0.02,0,0.2,0.01,254052
3,17,H,68363,40340,8120,0.59,0.35,0.07,13692,86909,14630,1592,0.12,0.74,0.13,0.01,27171,1385,88267,0.23,0.01,0.76,75854,39770,1199,0.65,0.34,0.01,116823,0,0,0,1,0,0,0,112320,1446,3057,0.96,0.01,0.03,107973,5769,3081,0.92,0.05,0.03,48481,24281,19863,16042,0.64,0.32,0.5,0.4,13692,86909,14630,0,0,0,0,0,0,0,0,0,0.12,0.74,0.13,0,0,0,0,0,0,0,0,0,4850,7223,50606,31279,12707,1661,0.35,0.53,0.58,0.36,0.87,0.11,2839,109,2839,109,2839,109,0.21,0.01,0.03,0,0.19,0.01,116823
