cluster_a,edad,sexo,remuneracion_c_remunerado,remuneracion_c_no_remunerado,remuneracion_c_indeterminado,remuneracion_p_remunerado,remuneracion_p_no_remunerado,remuneracion_p_indeterminado,escolaridad_c_no_escolaridad,escolaridad_c_basico,escolaridad_c_avanzado,escolaridad_c_indeterminado,escolaridad_p_no_escolaridad,escolaridad_p_basico,escolaridad_p_avanzado,escolaridad_p_indeterminado,salud_c_atencion_formal,salud_c_atencion_no_formal,salud_c_atencion_indeterminado,salud_p_atencion_formal,salud_p_atencion_no_formal,salud_p_atencion_indeterminado,pareja_c_si,pareja_c_no,pareja_c_indeterminado,pareja_p_si,pareja_p_no,pareja_p_indeterminado,hijos_c_0,hijos_c_1,hijos_c_2,hijos_c_3_o_mas,hijos_p_0,hijos_p_1,hijos_p_2,hijos_p_3_o_mas,inmigracion1_c_no,inmigracion1_c_si,inmigracion1_c_indeterminado,inmigracion1_p_no,inmigracion1_p_si,inmigracion1_p_indeterminado,inmigracion5_c_no,inmigracion5_c_si,inmigracion5_c_indeterminado,inmigracion5_p_no,inmigracion5_p_si,inmigracion5_p_indeterminado,remuneracion_x_pareja_c_remunerado_x_si,remuneracion_x_pareja_c_no_remunerado_x_si,remuneracion_x_pareja_c_remunerado_x_no,remuneracion_x_pareja_c_no_remunerado_x_no,remuneracion_dado_pareja_p_remunerado_dado_si,remuneracion_dado_pareja_p_no_remunerado_dado_si,remuneracion_dado_pareja_p_remunerado_dado_no,remuneracion_dado_pareja_p_no_remunerado_dado_no,escolaridad_x_hijos_c_no_escolaridad_x_0,escolaridad_x_hijos_c_basico_x_0,escolaridad_x_hijos_c_avanzado_x_0,escolaridad_x_hijos_c_no_escolaridad_x_1,escolaridad_x_hijos_c_basico_x_1,escolaridad_x_hijos_c_avanzado_x_1,escolaridad_x_hijos_c_no_escolaridad_x_2,escolaridad_x_hijos_c_basico_x_2,escolaridad_x_hijos_c_avanzado_x_2,escolaridad_x_hijos_c_no_escolaridad_x_3_o_mas,escolaridad_x_hijos_c_basico_x_3_o_mas,escolaridad_x_hijos_c_avanzado_x_3_o_mas,escolaridad_dado_hijos_p_no_escolaridad_dado_0,escolaridad_dado_hijos_p_basico_dado_0,escolaridad_dado_hijos_p_avanzado_dado_0,escolaridad_dado_hijos_p_no_escolaridad_dado_1,escolaridad_dado_hijos_p_basico_dado_1,escolaridad_dado_hijos_p_avanzado_dado_1,escolaridad_dado_hijos_p_no_escolaridad_dado_2,escolaridad_dado_hijos_p_basico_dado_2,escolaridad_dado_hijos_p_avanzado_dado_2,escolaridad_dado_hijos_p_no_escolaridad_dado_3_o_mas,escolaridad_dado_hijos_p_basico_dado_3_o_mas,escolaridad_dado_hijos_p_avanzado_dado_3_o_mas,remuneracion_x_escolaridad_c_remunerado_x_no_escolaridad,remuneracion_x_escolaridad_c_no_remunerado_x_no_escolaridad,remuneracion_x_escolaridad_c_remunerado_x_basico,remuneracion_x_escolaridad_c_no_remunerado_x_basico,remuneracion_x_escolaridad_c_remunerado_x_avanzado,remuneracion_x_escolaridad_c_no_remunerado_x_avanzado,remuneracion_dado_escolaridad_p_remunerado_dado_no_escolaridad,remuneracion_dado_escolaridad_p_no_remunerado_dado_no_escolarid,remuneracion_dado_escolaridad_p_remunerado_dado_basico,remuneracion_dado_escolaridad_p_no_remunerado_dado_basico,remuneracion_dado_escolaridad_p_remunerado_dado_avanzado,remuneracion_dado_escolaridad_p_no_remunerado_dado_avanzado,poblacion_total
3,10,H,6084,797,182,0.86,0.11,0.03,160,4814,1960,129,0.02,0.68,0.28,0.02,613,101,6349,0.09,0.01,0.9,4991,1959,113,0.71,0.28,0.02,7063,0,0,0,1,0,0,0,6745,165,153,0.95,0.02,0.02,6286,619,158,0.89,0.09,0.02,4490,462,1591,335,0.9,0.09,0.81,0.17,160,4814,1960,0,0,0,0,0,0,0,0,0,0.02,0.68,0.28,0,0,0,0,0,0,0,0,0,107,44,4224,532,1741,216,0.67,0.28,0.88,0.11,0.89,0.11,7063
3,10,M,5020,3235,155,0.6,0.38,0.02,194,5590,2479,147,0.02,0.66,0.29,0.02,986,116,7308,0.12,0.01,0.87,5130,3152,128,0.61,0.37,0.02,1238,1580,2807,2785,0.15,0.19,0.33,0.33,8074,197,139,0.96,0.02,0.02,7592,674,144,0.9,0.08,0.02,2773,2339,2247,896,0.54,0.46,0.71,0.28,58,560,489,22,879,676,44,1831,926,70,2320,388,0.05,0.45,0.39,0.01,0.56,0.43,0.02,0.65,0.33,0.03,0.83,0.14,94,97,2994,2578,1922,551,0.48,0.5,0.54,0.46,0.78,0.22,8410
3,11,H,6082,842,173,0.86,0.12,0.02,205,5008,1770,114,0.03,0.71,0.25,0.02,675,99,6323,0.1,0.01,0.89,5000,1999,98,0.7,0.28,0.01,7097,0,0,0,1,0,0,0,6834,130,133,0.96,0.02,0.02,6455,512,130,0.91,0.07,0.02,4415,548,1667,294,0.88,0.11,0.83,0.15,205,5008,1770,0,0,0,0,0,0,0,0,0,0.03,0.71,0.25,0,0,0,0,0,0,0,0,0,155,38,4320,633,1591,171,0.76,0.19,0.86,0.13,0.9,0.1,7097
3,11,M,4780,3831,127,0.55,0.44,0.01,238,6012,2352,136,0.03,0.69,0.27,0.02,1193,137,7408,0.14,0.02,0.85,5008,3628,102,0.57,0.42,0.01,1212,1488,2768,3270,0.14,0.17,0.32,0.37,8465,168,105,0.97,0.02,0.01,8024,610,104,0.92,0.07,0.01,2436,2561,2343,1270,0.49,0.51,0.65,0.35,59,606,438,29,903,548,41,1826,890,109,2677,476,0.05,0.5,0.36,0.02,0.61,0.37,0.01,0.66,0.32,0.03,0.82,0.15,97,135,2897,3097,1771,580,0.41,0.57,0.48,0.52,0.75,0.25,8738
3,12,H,5169,940,163,0.82,0.15,0.03,224,4479,1470,99,0.04,0.71,0.23,0.02,686,91,5495,0.11,0.01,0.88,4460,1722,90,0.71,0.27,0.01,6272,0,0,0,1,0,0,0,6038,129,105,0.96,0.02,0.02,5727,437,108,0.91,0.07,0.02,3800,615,1365,324,0.85,0.14,0.79,0.19,224,4479,1470,0,0,0,0,0,0,0,0,0,0.04,0.71,0.23,0,0,0,0,0,0,0,0,0,152,62,3713,708,1292,168,0.68,0.28,0.83,0.16,0.88,0.11,6272
3,12,M,3597,4027,138,0.46,0.52,0.02,241,5587,1814,120,0.03,0.72,0.23,0.02,1111,124,6527,0.14,0.02,0.84,4153,3508,101,0.54,0.45,0.01,1112,1128,2301,3221,0.14,0.15,0.3,0.41,7508,145,109,0.97,0.02,0.01,7171,477,114,0.92,0.06,0.01,1658,2484,1939,1542,0.4,0.6,0.55,0.44,46,605,353,26,694,405,45,1574,678,124,2714,378,0.04,0.54,0.32,0.02,0.62,0.36,0.02,0.68,0.29,0.04,0.84,0.12,75,158,2216,3347,1297,512,0.31,0.66,0.4,0.6,0.71,0.28,7762
3,13,H,3953,848,146,0.8,0.17,0.03,211,3445,1211,80,0.04,0.7,0.24,0.02,671,69,4207,0.14,0.01,0.85,3540,1339,68,0.72,0.27,0.01,4947,0,0,0,1,0,0,0,4785,82,80,0.97,0.02,0.02,4559,308,80,0.92,0.06,0.02,2963,532,987,316,0.84,0.15,0.74,0.24,211,3445,1211,0,0,0,0,0,0,0,0,0,0.04,0.7,0.24,0,0,0,0,0,0,0,0,0,144,57,2714,667,1087,118,0.68,0.27,0.79,0.19,0.9,0.1,4947
3,13,M,2704,3437,102,0.43,0.55,0.02,263,4545,1351,84,0.04,0.73,0.22,0.01,991,116,5136,0.16,0.02,0.82,3031,3146,66,0.49,0.5,0.01,863,808,1573,2999,0.14,0.13,0.25,0.48,6070,107,66,0.97,0.02,0.01,5738,435,70,0.92,0.07,0.01,1083,1933,1618,1503,0.36,0.64,0.51,0.48,51,466,277,24,533,249,27,1077,463,161,2469,362,0.06,0.54,0.32,0.03,0.66,0.31,0.02,0.68,0.29,0.05,0.82,0.12,70,181,1620,2901,1010,337,0.27,0.69,0.36,0.64,0.75,0.25,6243
3,14,H,2959,741,118,0.78,0.19,0.03,211,2717,847,43,0.06,0.71,0.22,0.01,569,51,3198,0.15,0.01,0.84,2818,968,32,0.74,0.25,0.01,3818,0,0,0,1,0,0,0,3719,49,50,0.97,0.01,0.01,3541,221,56,0.93,0.06,0.01,2287,484,672,257,0.81,0.17,0.69,0.27,211,2717,847,0,0,0,0,0,0,0,0,0,0.06,0.71,0.22,0,0,0,0,0,0,0,0,0,131,68,2056,591,762,79,0.62,0.32,0.76,0.22,0.9,0.09,3818
3,14,M,1900,2856,88,0.39,0.59,0.02,252,3673,855,64,0.05,0.76,0.18,0.01,890,64,3890,0.18,0.01,0.8,2190,2604,50,0.45,0.54,0.01,677,594,982,2591,0.14,0.12,0.2,0.53,4712,74,58,0.97,0.02,0.01,4514,270,60,0.93,0.06,0.01,681,1500,1219,1355,0.31,0.68,0.47,0.52,33,419,175,28,418,147,39,679,259,152,2157,274,0.05,0.62,0.26,0.05,0.7,0.25,0.04,0.69,0.26,0.06,0.83,0.11,47,204,1222,2417,622,227,0.19,0.81,0.33,0.66,0.73,0.27,4844
3,15,H,2082,604,87,0.75,0.22,0.03,189,1993,562,29,0.07,0.72,0.2,0.01,519,38,2216,0.19,0.01,0.8,2029,721,23,0.73,0.26,0.01,2773,0,0,0,1,0,0,0,2710,29,34,0.98,0.01,0.01,2589,148,36,0.93,0.05,0.01,1599,390,483,212,0.79,0.19,0.67,0.29,189,1993,562,0,0,0,0,0,0,0,0,0,0.07,0.72,0.2,0,0,0,0,0,0,0,0,0,112,65,1454,487,509,51,0.59,0.34,0.73,0.24,0.91,0.09,2773
