cluster_a,edad,sexo,remuneracion_c_remunerado,remuneracion_c_no_remunerado,remuneracion_c_indeterminado,remuneracion_p_remunerado,remuneracion_p_no_remunerado,remuneracion_p_indeterminado,escolaridad_c_no_escolaridad,escolaridad_c_basico,escolaridad_c_avanzado,escolaridad_c_indeterminado,escolaridad_p_no_escolaridad,escolaridad_p_basico,escolaridad_p_avanzado,escolaridad_p_indeterminado,salud_c_atencion_formal,salud_c_atencion_no_formal,salud_c_atencion_indeterminado,salud_p_atencion_formal,salud_p_atencion_no_formal,salud_p_atencion_indeterminado,pareja_c_si,pareja_c_no,pareja_c_indeterminado,pareja_p_si,pareja_p_no,pareja_p_indeterminado,hijos_c_0,hijos_c_1,hijos_c_2,hijos_c_3_o_mas,hijos_p_0,hijos_p_1,hijos_p_2,hijos_p_3_o_mas,inmigracion1_c_no,inmigracion1_c_si,inmigracion1_c_indeterminado,inmigracion1_p_no,inmigracion1_p_si,inmigracion1_p_indeterminado,inmigracion5_c_no,inmigracion5_c_si,inmigracion5_c_indeterminado,inmigracion5_p_no,inmigracion5_p_si,inmigracion5_p_indeterminado,remuneracion_x_pareja_c_remunerado_x_si,remuneracion_x_pareja_c_no_remunerado_x_si,remuneracion_x_pareja_c_remunerado_x_no,remuneracion_x_pareja_c_no_remunerado_x_no,remuneracion_dado_pareja_p_remunerado_dado_si,remuneracion_dado_pareja_p_no_remunerado_dado_si,remuneracion_dado_pareja_p_remunerado_dado_no,remuneracion_dado_pareja_p_no_remunerado_dado_no,escolaridad_x_hijos_c_no_escolaridad_x_0,escolaridad_x_hijos_c_basico_x_0,escolaridad_x_hijos_c_avanzado_x_0,escolaridad_x_hijos_c_no_escolaridad_x_1,escolaridad_x_hijos_c_basico_x_1,escolaridad_x_hijos_c_avanzado_x_1,escolaridad_x_hijos_c_no_escolaridad_x_2,escolaridad_x_hijos_c_basico_x_2,escolaridad_x_hijos_c_avanzado_x_2,escolaridad_x_hijos_c_no_escolaridad_x_3_o_mas,escolaridad_x_hijos_c_basico_x_3_o_mas,escolaridad_x_hijos_c_avanzado_x_3_o_mas,escolaridad_dado_hijos_p_no_escolaridad_dado_0,escolaridad_dado_hijos_p_basico_dado_0,escolaridad_dado_hijos_p_avanzado_dado_0,escolaridad_dado_hijos_p_no_escolaridad_dado_1,escolaridad_dado_hijos_p_basico_dado_1,escolaridad_dado_hijos_p_avanzado_dado_1,escolaridad_dado_hijos_p_no_escolaridad_dado_2,escolaridad_dado_hijos_p_basico_dado_2,escolaridad_dado_hijos_p_avanzado_dado_2,escolaridad_dado_hijos_p_no_escolaridad_dado_3_o_mas,escolaridad_dado_hijos_p_basico_dado_3_o_mas,escolaridad_dado_hijos_p_avanzado_dado_3_o_mas,remuneracion_x_escolaridad_c_remunerado_x_no_escolaridad,remuneracion_x_escolaridad_c_no_remunerado_x_no_escolaridad,remuneracion_x_escolaridad_c_remunerado_x_basico,remuneracion_x_escolaridad_c_no_remunerado_x_basico,remuneracion_x_escolaridad_c_remunerado_x_avanzado,remuneracion_x_escolaridad_c_no_remunerado_x_avanzado,remuneracion_dado_escolaridad_p_remunerado_dado_no_escolaridad,remuneracion_dado_escolaridad_p_no_remunerado_dado_no_escolarid,remuneracion_dado_escolaridad_p_remunerado_dado_basico,remuneracion_dado_escolaridad_p_no_remunerado_dado_basico,remuneracion_dado_escolaridad_p_remunerado_dado_avanzado,remuneracion_dado_escolaridad_p_no_remunerado_dado_avanzado,poblacion_total
3,20,M,29,85,16,0.22,0.65,0.12,22,97,4,7,0.17,0.75,0.03,0.05,30,0,100,0.23,0,0.77,10,115,5,0.08,0.88,0.04,21,8,14,87,0.16,0.06,0.11,0.67,120,3,7,0.92,0.02,0.05,117,7,6,0.9,0.05,0.05,3,5,26,80,0.3,0.5,0.23,0.7,4,11,0,1,6,1,3,9,2,14,71,1,0.19,0.52,0,0.13,0.75,0.13,0.21,0.64,0.14,0.16,0.82,0.01,2,18,22,67,4,0,0.09,0.82,0.23,0.69,1,0,130
3,21,H,13,9,4,0.5,0.35,0.15,4,18,3,1,0.15,0.69,0.12,0.04,3,0,23,0.12,0,0.88,12,13,1,0.46,0.5,0.04,26,0,0,0,1,0,0,0,24,0,2,0.92,0,0.08,19,5,2,0.73,0.19,0.08,9,2,4,7,0.75,0.17,0.31,0.54,4,18,3,0,0,0,0,0,0,0,0,0,0.15,0.69,0.12,0,0,0,0,0,0,0,0,0,2,2,10,5,1,2,0.5,0.5,0.56,0.28,0.33,0.67,26
3,21,M,12,21,8,0.29,0.51,0.2,8,21,6,6,0.2,0.51,0.15,0.15,3,1,37,0.07,0.02,0.9,12,26,3,0.29,0.63,0.07,15,3,4,19,0.37,0.07,0.1,0.46,35,0,6,0.85,0,0.15,31,3,7,0.76,0.07,0.17,7,5,5,16,0.58,0.42,0.19,0.62,2,6,3,0,2,1,0,3,1,6,10,1,0.13,0.4,0.2,0,0.67,0.33,0,0.75,0.25,0.32,0.53,0.05,0,6,8,11,3,3,0,0.75,0.38,0.52,0.5,0.5,41
4,1,H,0,0,4263,0,0,1,0,0,0,4263,0,0,0,1,335,66,3862,0.08,0.02,0.91,0,0,4263,0,0,1,4263,0,0,0,1,0,0,0,3291,167,805,0.77,0.04,0.19,0,0,4263,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4263
4,1,M,0,0,4123,0,0,1,0,0,0,4123,0,0,0,1,315,73,3735,0.08,0.02,0.91,0,0,4123,0,0,1,4123,0,0,0,1,0,0,0,3188,152,783,0.77,0.04,0.19,0,0,4123,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4123
4,2,H,0,0,4660,0,0,1,116,4427,0,117,0.02,0.95,0,0.03,213,59,4388,0.05,0.01,0.94,0,0,4660,0,0,1,4660,0,0,0,1,0,0,0,4475,162,23,0.96,0.03,0,4052,524,84,0.87,0.11,0.02,0,0,0,0,0,0,0,0,116,4427,0,0,0,0,0,0,0,0,0,0,0.02,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4660
4,2,M,0,0,4445,0,0,1,104,4239,0,102,0.02,0.95,0,0.02,215,64,4166,0.05,0.01,0.94,0,0,4445,0,0,1,4445,0,0,0,1,0,0,0,4258,152,35,0.96,0.03,0.01,3848,503,94,0.87,0.11,0.02,0,0,0,0,0,0,0,0,104,4239,0,0,0,0,0,0,0,0,0,0,0.02,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4445
4,3,H,70,4889,121,0.01,0.96,0.02,50,4992,0,38,0.01,0.98,0,0.01,202,59,4819,0.04,0.01,0.95,50,4967,63,0.01,0.98,0.01,5080,0,0,0,1,0,0,0,4873,134,73,0.96,0.03,0.01,4494,511,75,0.88,0.1,0.01,4,45,66,4840,0.08,0.9,0.01,0.97,50,4992,0,0,0,0,0,0,0,0,0,0,0.01,0.98,0,0,0,0,0,0,0,0,0,0,4,44,66,4841,0,0,0.08,0.88,0.01,0.97,0,0,5080
4,3,M,25,4724,104,0.01,0.97,0.02,31,4795,0,27,0.01,0.99,0,0.01,194,66,4593,0.04,0.01,0.95,81,4721,51,0.02,0.97,0.01,4841,9,1,2,1,0,0,0,4655,141,57,0.96,0.03,0.01,4329,466,58,0.89,0.1,0.01,1,80,24,4640,0.01,0.99,0.01,0.98,31,4783,0,0,9,0,0,1,0,0,2,0,0.01,0.99,0,0,1,0,0,1,0,0,1,0,2,27,23,4694,0,0,0.06,0.87,0,0.98,0,0,4853
4,4,H,1031,3954,190,0.2,0.76,0.04,87,4469,476,143,0.02,0.86,0.09,0.03,197,58,4920,0.04,0.01,0.95,248,4765,162,0.05,0.92,0.03,5175,0,0,0,1,0,0,0,4834,165,176,0.93,0.03,0.03,4525,473,177,0.87,0.09,0.03,144,101,886,3851,0.58,0.41,0.19,0.81,87,4469,476,0,0,0,0,0,0,0,0,0,0.02,0.86,0.09,0,0,0,0,0,0,0,0,0,26,57,952,3463,48,427,0.3,0.66,0.21,0.77,0.1,0.9,5175
4,4,M,338,4644,86,0.07,0.92,0.02,35,4341,654,38,0.01,0.86,0.13,0.01,253,69,4746,0.05,0.01,0.94,788,4205,75,0.16,0.83,0.01,4424,577,61,6,0.87,0.11,0.01,0,4815,179,74,0.95,0.04,0.01,4479,516,73,0.88,0.1,0.01,86,699,250,3939,0.11,0.89,0.06,0.94,29,3727,630,4,551,22,1,58,2,1,5,0,0.01,0.84,0.14,0.01,0.95,0.04,0.02,0.95,0.03,0.17,0.83,0,2,30,283,4009,52,602,0.06,0.86,0.07,0.92,0.08,0.92,5068
4,5,H,2696,1966,225,0.55,0.4,0.05,86,3452,1205,144,0.02,0.71,0.25,0.03,181,52,4654,0.04,0.01,0.95,1301,3457,129,0.27,0.71,0.03,4887,0,0,0,1,0,0,0,4435,258,194,0.91,0.05,0.04,4142,542,203,0.85,0.11,0.04,1023,249,1671,1716,0.79,0.19,0.48,0.5,86,3452,1205,0,0,0,0,0,0,0,0,0,0.02,0.71,0.25,0,0,0,0,0,0,0,0,0,34,44,2247,1114,406,797,0.4,0.51,0.65,0.32,0.34,0.66,4887
4,5,M,1299,3390,65,0.27,0.71,0.01,30,3041,1625,58,0.01,0.64,0.34,0.01,252,51,4451,0.05,0.01,0.94,2151,2546,57,0.45,0.54,0.01,2512,1527,579,136,0.53,0.32,0.12,0.03,4468,229,57,0.94,0.05,0.01,4045,653,56,0.85,0.14,0.01,487,1660,810,1724,0.23,0.77,0.32,0.68,24,1248,1188,2,1150,374,4,513,59,0,130,4,0.01,0.5,0.47,0,0.75,0.24,0.01,0.89,0.1,0,0.96,0.03,4,25,810,2215,481,1140,0.13,0.83,0.27,0.73,0.3,0.7,4754
4,6,H,3361,1006,151,0.74,0.22,0.03,97,3164,1183,74,0.02,0.7,0.26,0.02,197,57,4264,0.04,0.01,0.94,2254,2207,57,0.5,0.49,0.01,4518,0,0,0,1,0,0,0,4158,225,135,0.92,0.05,0.03,3749,633,136,0.83,0.14,0.03,1911,302,1450,703,0.85,0.13,0.66,0.32,97,3164,1183,0,0,0,0,0,0,0,0,0,0.02,0.7,0.26,0,0,0,0,0,0,0,0,0,62,29,2470,606,817,363,0.64,0.3,0.78,0.19,0.69,0.31,4518
4,6,M,1804,2681,76,0.4,0.59,0.02,54,2799,1646,62,0.01,0.61,0.36,0.01,264,66,4231,0.06,0.01,0.93,2770,1730,61,0.61,0.38,0.01,1396,1469,1133,563,0.31,0.32,0.25,0.12,4290,214,57,0.94,0.05,0.01,3840,659,62,0.84,0.14,0.01,878,1887,924,793,0.32,0.68,0.53,0.46,31,546,763,4,870,590,4,870,258,15,513,35,0.02,0.39,0.55,0,0.59,0.4,0,0.77,0.23,0.03,0.91,0.06,12,37,908,1876,883,760,0.22,0.69,0.32,0.67,0.54,0.46,4561
4,7,H,3165,731,147,0.78,0.18,0.04,120,2912,946,65,0.03,0.72,0.23,0.02,204,72,3767,0.05,0.02,0.93,2661,1331,51,0.66,0.33,0.01,4043,0,0,0,1,0,0,0,3741,171,131,0.93,0.04,0.03,3338,577,128,0.83,0.14,0.03,2236,371,927,360,0.84,0.14,0.7,0.27,120,2912,946,0,0,0,0,0,0,0,0,0,0.03,0.72,0.23,0,0,0,0,0,0,0,0,0,80,36,2344,479,726,212,0.67,0.3,0.8,0.16,0.77,0.22,4043
4,7,M,1794,2262,38,0.44,0.55,0.01,89,2639,1330,36,0.02,0.64,0.32,0.01,263,61,3770,0.06,0.01,0.92,2734,1329,31,0.67,0.32,0.01,758,990,1314,1032,0.19,0.24,0.32,0.25,3934,136,24,0.96,0.03,0.01,3533,533,28,0.86,0.13,0.01,1026,1706,767,555,0.38,0.62,0.58,0.42,29,361,339,14,499,474,10,898,402,36,881,115,0.04,0.48,0.45,0.01,0.5,0.48,0.01,0.68,0.31,0.03,0.85,0.11,27,60,997,1634,766,564,0.3,0.67,0.38,0.62,0.58,0.42,4094
4,8,H,3043,562,94,0.82,0.15,0.03,106,2739,814,40,0.03,0.74,0.22,0.01,203,55,3441,0.05,0.01,0.93,2645,1021,33,0.72,0.28,0.01,3699,0,0,0,1,0,0,0,3484,135,80,0.94,0.04,0.02,3161,456,82,0.85,0.12,0.02,2281,325,760,237,0.86,0.12,0.74,0.23,106,2739,814,0,0,0,0,0,0,0,0,0,0.03,0.74,0.22,0,0,0,0,0,0,0,0,0,75,26,2274,410,685,125,0.71,0.25,0.83,0.15,0.84,0.15,3699
4,8,M,1837,2154,38,0.46,0.53,0.01,86,2800,1106,37,0.02,0.69,0.27,0.01,295,80,3654,0.07,0.02,0.91,2735,1264,30,0.68,0.31,0.01,547,723,1320,1439,0.14,0.18,0.33,0.36,3864,133,32,0.96,0.03,0.01,3589,410,30,0.89,0.1,0.01,1030,1696,807,457,0.38,0.62,0.64,0.36,24,295,198,8,402,310,8,915,396,46,1188,202,0.04,0.54,0.36,0.01,0.56,0.43,0.01,0.69,0.3,0.03,0.83,0.14,21,65,1097,1694,717,386,0.24,0.76,0.39,0.61,0.65,0.35,4029
4,9,H,2729,439,99,0.84,0.13,0.03,157,2464,614,32,0.05,0.75,0.19,0.01,191,56,3020,0.06,0.02,0.92,2413,822,32,0.74,0.25,0.01,3267,0,0,0,1,0,0,0,3082,107,78,0.94,0.03,0.02,2806,382,79,0.86,0.12,0.02,2097,274,630,164,0.87,0.11,0.77,0.2,157,2464,614,0,0,0,0,0,0,0,0,0,0.05,0.75,0.19,0,0,0,0,0,0,0,0,0,119,32,2095,309,512,95,0.76,0.2,0.85,0.13,0.83,0.15,3267
4,9,M,1547,1823,40,0.45,0.53,0.01,123,2451,800,36,0.04,0.72,0.23,0.01,291,49,3070,0.09,0.01,0.9,2275,1107,28,0.67,0.32,0.01,428,450,1019,1513,0.13,0.13,0.3,0.44,3284,89,37,0.96,0.03,0.01,3067,310,33,0.9,0.09,0.01,869,1397,676,426,0.38,0.61,0.61,0.38,25,245,131,14,262,172,20,690,305,64,1254,192,0.06,0.57,0.31,0.03,0.58,0.38,0.02,0.68,0.3,0.04,0.83,0.13,36,84,972,1470,535,264,0.29,0.68,0.4,0.6,0.67,0.33,3410
4,10,H,2631,396,79,0.85,0.13,0.03,189,2406,473,38,0.06,0.77,0.15,0.01,195,54,2857,0.06,0.02,0.92,2267,804,35,0.73,0.26,0.01,3106,0,0,0,1,0,0,0,2979,61,66,0.96,0.02,0.02,2809,232,65,0.9,0.07,0.02,1980,256,649,140,0.87,0.11,0.81,0.17,189,2406,473,0,0,0,0,0,0,0,0,0,0.06,0.77,0.15,0,0,0,0,0,0,0,0,0,158,26,2053,315,417,53,0.84,0.14,0.85,0.13,0.88,0.11,3106
4,10,M,1388,1878,26,0.42,0.57,0.01,151,2509,604,28,0.05,0.76,0.18,0.01,325,61,2906,0.1,0.02,0.88,2211,1059,22,0.67,0.32,0.01,349,376,885,1682,0.11,0.11,0.27,0.51,3205,66,21,0.97,0.02,0.01,3042,228,22,0.92,0.07,0.01,769,1439,618,438,0.35,0.65,0.58,0.41,20,218,89,13,240,123,22,629,231,96,1422,161,0.06,0.62,0.26,0.03,0.64,0.33,0.02,0.71,0.26,0.06,0.85,0.1,44,107,904,1600,436,168,0.29,0.71,0.36,0.64,0.72,0.28,3292
4,11,H,2318,404,71,0.83,0.14,0.03,223,2188,341,41,0.08,0.78,0.12,0.01,194,46,2553,0.07,0.02,0.91,2086,673,34,0.75,0.24,0.01,2793,0,0,0,1,0,0,0,2679,65,49,0.96,0.02,0.02,2535,209,49,0.91,0.07,0.02,1784,279,532,125,0.86,0.13,0.79,0.19,223,2188,341,0,0,0,0,0,0,0,0,0,0.08,0.78,0.12,0,0,0,0,0,0,0,0,0,177,42,1842,313,291,48,0.79,0.19,0.84,0.14,0.85,0.14,2793
4,11,M,1189,2014,36,0.37,0.62,0.01,202,2516,486,35,0.06,0.78,0.15,0.01,384,51,2804,0.12,0.02,0.87,2067,1144,28,0.64,0.35,0.01,379,341,699,1820,0.12,0.11,0.22,0.56,3156,56,27,0.97,0.02,0.01,3023,186,30,0.93,0.06,0.01,655,1409,534,603,0.32,0.68,0.47,0.53,32,239,81,8,236,97,16,532,148,146,1509,160,0.08,0.63,0.21,0.02,0.69,0.28,0.02,0.76,0.21,0.08,0.83,0.09,41,158,802,1708,342,143,0.2,0.78,0.32,0.68,0.7,0.29,3239
4,12,H,2109,431,70,0.81,0.17,0.03,225,2054,294,37,0.09,0.79,0.11,0.01,221,49,2340,0.08,0.02,0.9,1891,688,31,0.72,0.26,0.01,2610,0,0,0,1,0,0,0,2510,53,47,0.96,0.02,0.02,2388,177,45,0.91,0.07,0.02,1591,274,517,157,0.84,0.14,0.75,0.23,225,2054,294,0,0,0,0,0,0,0,0,0,0.09,0.79,0.11,0,0,0,0,0,0,0,0,0,170,47,1682,341,252,42,0.76,0.21,0.82,0.17,0.86,0.14,2610
4,12,M,915,1726,36,0.34,0.64,0.01,226,2050,377,24,0.08,0.77,0.14,0.01,352,52,2273,0.13,0.02,0.85,1572,1084,21,0.59,0.4,0.01,314,254,489,1620,0.12,0.09,0.18,0.61,2619,37,21,0.98,0.01,0.01,2502,154,21,0.93,0.06,0.01,433,1130,482,595,0.28,0.72,0.44,0.55,27,203,63,13,175,65,22,347,119,164,1325,130,0.09,0.65,0.2,0.05,0.69,0.26,0.04,0.71,0.24,0.1,0.82,0.08,58,165,578,1459,276,100,0.26,0.73,0.28,0.71,0.73,0.27,2677
4,13,H,1501,435,56,0.75,0.22,0.03,246,1516,209,21,0.12,0.76,0.1,0.01,229,32,1731,0.11,0.02,0.87,1439,539,14,0.72,0.27,0.01,1992,0,0,0,1,0,0,0,1943,31,18,0.98,0.02,0.01,1883,93,16,0.95,0.05,0.01,1119,297,381,138,0.78,0.21,0.71,0.26,246,1516,209,0,0,0,0,0,0,0,0,0,0.12,0.76,0.1,0,0,0,0,0,0,0,0,0,176,58,1149,336,171,37,0.72,0.24,0.76,0.22,0.82,0.18,1992
4,13,M,600,1548,30,0.28,0.71,0.01,233,1701,227,17,0.11,0.78,0.1,0.01,314,48,1816,0.14,0.02,0.83,1123,1044,11,0.52,0.48,0.01,288,172,345,1373,0.13,0.08,0.16,0.63,2132,37,9,0.98,0.02,0,2053,116,9,0.94,0.05,0,252,863,347,684,0.22,0.77,0.33,0.66,36,198,42,8,127,37,14,270,61,175,1106,87,0.13,0.69,0.15,0.05,0.74,0.22,0.04,0.78,0.18,0.13,0.81,0.06,42,188,385,1300,170,55,0.18,0.81,0.23,0.76,0.75,0.24,2178
4,14,H,1059,394,63,0.7,0.26,0.04,248,1120,136,12,0.16,0.74,0.09,0.01,188,27,1301,0.12,0.02,0.86,1065,443,8,0.7,0.29,0.01,1516,0,0,0,1,0,0,0,1480,20,16,0.98,0.01,0.01,1431,71,14,0.94,0.05,0.01,770,258,289,136,0.72,0.24,0.65,0.31,248,1120,136,0,0,0,0,0,0,0,0,0,0.16,0.74,0.09,0,0,0,0,0,0,0,0,0,157,80,780,296,120,16,0.63,0.32,0.7,0.26,0.88,0.12,1516
4,14,M,417,1216,31,0.25,0.73,0.02,255,1240,151,18,0.15,0.75,0.09,0.01,280,25,1359,0.17,0.02,0.82,814,838,12,0.49,0.5,0.01,214,123,208,1119,0.13,0.07,0.13,0.67,1636,18,10,0.98,0.01,0.01,1574,78,12,0.95,0.05,0.01,171,637,246,579,0.21,0.78,0.29,0.69,33,134,32,14,83,26,17,167,23,191,856,70,0.15,0.63,0.15,0.11,0.67,0.21,0.08,0.8,0.11,0.17,0.76,0.06,34,216,276,951,107,43,0.13,0.85,0.22,0.77,0.71,0.28,1664
4,15,H,719,359,70,0.63,0.31,0.06,230,817,92,9,0.2,0.71,0.08,0.01,183,21,944,0.16,0.02,0.82,815,325,8,0.71,0.28,0.01,1148,0,0,0,1,0,0,0,1122,11,15,0.98,0.01,0.01,1085,48,15,0.95,0.04,0.01,534,240,185,119,0.66,0.29,0.57,0.37,230,817,92,0,0,0,0,0,0,0,0,0,0.2,0.71,0.08,0,0,0,0,0,0,0,0,0,123,88,517,258,78,13,0.53,0.38,0.63,0.32,0.85,0.14,1148
4,15,M,213,961,43,0.18,0.79,0.04,265,874,66,12,0.22,0.72,0.05,0.01,200,20,997,0.16,0.02,0.82,510,697,10,0.42,0.57,0.01,141,76,115,885,0.12,0.06,0.09,0.73,1193,13,11,0.98,0.01,0.01,1148,58,11,0.94,0.05,0.01,61,440,152,520,0.12,0.86,0.22,0.75,27,92,12,12,55,9,16,82,17,210,645,28,0.19,0.65,0.09,0.16,0.72,0.12,0.14,0.71,0.15,0.24,0.73,0.03,20,231,147,707,46,20,0.08,0.87,0.17,0.81,0.7,0.3,1217
4,16,H,359,325,66,0.48,0.43,0.09,204,508,37,1,0.27,0.68,0.05,0,147,14,589,0.2,0.02,0.79,470,278,2,0.63,0.37,0,750,0,0,0,1,0,0,0,734,6,10,0.98,0.01,0.01,705,36,9,0.94,0.05,0.01,252,189,107,135,0.54,0.4,0.38,0.49,204,508,37,0,0,0,0,0,0,0,0,0,0.27,0.68,0.05,0,0,0,0,0,0,0,0,0,77,104,254,213,28,8,0.38,0.51,0.5,0.42,0.76,0.22,750
4,16,M,120,744,50,0.13,0.81,0.05,258,614,33,9,0.28,0.67,0.04,0.01,176,19,719,0.19,0.02,0.79,286,625,3,0.31,0.68,0,118,46,68,682,0.13,0.05,0.07,0.75,904,4,6,0.99,0,0.01,879,29,6,0.96,0.03,0.01,24,259,96,485,0.08,0.91,0.15,0.78,35,71,8,11,32,3,15,46,5,197,465,17,0.3,0.6,0.07,0.24,0.7,0.07,0.22,0.68,0.07,0.29,0.68,0.02,19,217,78,513,23,8,0.07,0.84,0.13,0.84,0.7,0.24,914
4,17,H,193,241,61,0.39,0.49,0.12,154,318,20,3,0.31,0.64,0.04,0.01,92,11,392,0.19,0.02,0.79,287,208,0,0.58,0.42,0,495,0,0,0,1,0,0,0,479,7,9,0.97,0.01,0.02,463,23,9,0.94,0.05,0.02,122,137,71,104,0.43,0.48,0.34,0.5,154,318,20,0,0,0,0,0,0,0,0,0,0.31,0.64,0.04,0,0,0,0,0,0,0,0,0,39,88,137,149,17,3,0.25,0.57,0.43,0.47,0.85,0.15,495
4,17,M,80,495,45,0.13,0.8,0.07,177,424,11,8,0.29,0.68,0.02,0.01,126,9,485,0.2,0.01,0.78,151,462,7,0.24,0.75,0.01,82,29,39,470,0.13,0.05,0.06,0.76,606,5,9,0.98,0.01,0.01,596,15,9,0.96,0.02,0.01,12,131,68,364,0.08,0.87,0.15,0.79,26,47,3,9,20,0,10,29,0,132,328,8,0.32,0.57,0.04,0.31,0.69,0,0.26,0.74,0,0.28,0.7,0.02,9,153,61,340,10,0,0.05,0.86,0.14,0.8,0.91,0,620
4,18,H,87,135,45,0.33,0.51,0.17,96,156,11,4,0.36,0.58,0.04,0.01,53,3,211,0.2,0.01,0.79,139,128,0,0.52,0.48,0,267,0,0,0,1,0,0,0,257,2,8,0.96,0.01,0.03,248,11,8,0.93,0.04,0.03,57,63,30,72,0.41,0.45,0.23,0.56,96,156,11,0,0,0,0,0,0,0,0,0,0.36,0.58,0.04,0,0,0,0,0,0,0,0,0,23,50,54,82,10,1,0.24,0.52,0.35,0.53,0.91,0.09,267
4,18,M,48,255,34,0.14,0.76,0.1,122,198,10,7,0.36,0.59,0.03,0.02,56,5,276,0.17,0.01,0.82,52,282,3,0.15,0.84,0.01,58,16,18,245,0.17,0.05,0.05,0.73,331,2,4,0.98,0.01,0.01,324,9,4,0.96,0.03,0.01,5,41,43,214,0.1,0.79,0.15,0.76,22,30,3,6,9,0,7,10,0,87,149,7,0.38,0.52,0.05,0.38,0.56,0,0.39,0.56,0,0.36,0.61,0.03,7,100,35,147,6,4,0.06,0.82,0.18,0.74,0.6,0.4,337
4,19,H,27,38,17,0.33,0.46,0.21,35,43,4,0,0.43,0.52,0.05,0,11,2,69,0.13,0.02,0.84,29,53,0,0.35,0.65,0,82,0,0,0,1,0,0,0,80,0,2,0.98,0,0.02,78,2,2,0.95,0.02,0.02,8,15,19,23,0.28,0.52,0.36,0.43,35,43,4,0,0,0,0,0,0,0,0,0,0.43,0.52,0.05,0,0,0,0,0,0,0,0,0,10,17,15,19,2,2,0.29,0.49,0.35,0.44,0.5,0.5,82
4,19,M,10,87,23,0.08,0.73,0.19,44,70,2,4,0.37,0.58,0.02,0.03,22,1,97,0.18,0.01,0.81,14,104,2,0.12,0.87,0.02,19,8,5,88,0.16,0.07,0.04,0.73,115,1,4,0.96,0.01,0.03,109,6,5,0.91,0.05,0.04,1,12,9,75,0.07,0.86,0.09,0.72,3,13,0,3,4,1,1,4,0,37,49,1,0.16,0.68,0,0.38,0.5,0.13,0.2,0.8,0,0.42,0.56,0.01,2,35,6,51,2,0,0.05,0.8,0.09,0.73,1,0,120
4,20,H,4,18,5,0.15,0.67,0.19,12,14,1,0,0.44,0.52,0.04,0,1,0,26,0.04,0,0.96,12,15,0,0.44,0.56,0,27,0,0,0,1,0,0,0,27,0,0,1,0,0,27,0,0,1,0,0,2,7,2,11,0.17,0.58,0.13,0.73,12,14,1,0,0,0,0,0,0,0,0,0,0.44,0.52,0.04,0,0,0,0,0,0,0,0,0,1,7,2,11,1,0,0.08,0.58,0.14,0.79,1,0,27
4,20,M,5,32,7,0.11,0.73,0.16,18,26,0,0,0.41,0.59,0,0,7,0,37,0.16,0,0.84,2,42,0,0.05,0.95,0,11,0,3,30,0.25,0,0.07,0.68,44,0,0,1,0,0,44,0,0,1,0,0,0,2,5,30,0,1,0.12,0.71,3,8,0,0,0,0,1,2,0,14,16,0,0.27,0.73,0,0,0,0,0.33,0.67,0,0.47,0.53,0,0,16,5,16,0,0,0,0.89,0.19,0.62,0,0,44
4,21,H,8,5,2,0.53,0.33,0.13,2,11,0,2,0.13,0.73,0,0.13,2,1,12,0.13,0.07,0.8,11,3,1,0.73,0.2,0.07,15,0,0,0,1,0,0,0,14,0,1,0.93,0,0.07,14,0,1,0.93,0,0.07,7,3,1,2,0.64,0.27,0.33,0.67,2,11,0,0,0,0,0,0,0,0,0,0,0.13,0.73,0,0,0,0,0,0,0,0,0,0,1,0,7,4,0,0,0.5,0,0.64,0.36,0,0,15
4,21,M,5,8,2,0.33,0.53,0.13,5,7,3,0,0.33,0.47,0.2,0,1,0,14,0.07,0,0.93,4,11,0,0.27,0.73,0,5,2,3,5,0.33,0.13,0.2,0.33,14,0,1,0.93,0,0.07,13,1,1,0.87,0.07,0.07,3,1,2,7,0.75,0.25,0.18,0.64,0,3,2,1,1,0,1,2,0,3,1,1,0,0.6,0.4,0.5,0.5,0,0.33,0.67,0,0.6,0.2,0.2,1,3,2,5,2,0,0.2,0.6,0.29,0.71,0.67,0,15
