,u_dpto,u_mpio,poblacion,alfabetizacion,analfabetismo,escolarizado,descolarizado,remunerado,no_remunerado,atencion_formal,atencion_informal,no_necesita_atencion,sexo_m,sexo_f,departamento,municipio,labels
925,19,513,8763,0.872989,0.127011,0.898322,0.101678,0.323519,0.676481,0.071208,0.006619,0.922173,4152,4611,CAUCA,PADILLA,4
926,19,622,9336,0.848329,0.151671,0.88389,0.11611,0.277956,0.722044,0.095865,0.012104,0.892031,4800,4536,CAUCA,ROSAS,0
927,19,785,6201,0.807612,0.192388,0.838091,0.161909,0.057733,0.942267,0.107402,0.008547,0.884051,3157,3044,CAUCA,SUCRE,2
928,25,258,3458,0.823308,0.176692,0.840081,0.159919,0.354829,0.645171,0.015327,0.001157,0.983516,1799,1659,CUNDINAMARCA,EL PE�ON,4
929,25,279,10749,0.877291,0.122709,0.891153,0.108847,0.450461,0.549539,0.196483,0.066518,0.736999,5559,5190,CUNDINAMARCA,FOMEQUE,3
930,27,025,23954,0.594347,0.405653,0.584746,0.415254,0.083201,0.916799,0.028429,0.005845,0.965726,12000,11954,CHOCO,ALTO BAUDO,2
931,27,160,4683,0.726244,0.273756,0.731369,0.268631,0.2981,0.7019,0.057228,0.005125,0.937647,2176,2507,CHOCO,CERTEGUI,1
932,41,530,10454,0.834417,0.165583,0.860341,0.139659,0.306486,0.693514,0.160608,0.019227,0.820165,5445,5009,HUILA,PALESTINA,0
933,41,676,10215,0.821047,0.178953,0.852863,0.147137,0.380127,0.619873,0.107685,0.030445,0.86187,5343,4872,HUILA,SANTA MARIA,4
934,41,791,16108,0.842252,0.157748,0.863546,0.136454,0.310591,0.689409,0.082878,0.028061,0.889061,8264,7844,HUILA,TARQUI,0
935,41,797,9767,0.8498,0.1502,0.875704,0.124296,0.321696,0.678304,0.129415,0.033378,0.837207,4956,4811,HUILA,TESALIA,0
936,41,872,6943,0.828316,0.171684,0.861587,0.138413,0.302751,0.697249,0.131787,0.03111,0.837102,3581,3362,HUILA,VILLAVIEJA,0
937,73,563,7893,0.828076,0.171924,0.843279,0.156721,0.360573,0.639427,0.11922,0.018624,0.862156,4052,3841,TOLIMA,PRADO,4
938,73,624,20220,0.827745,0.172255,0.847527,0.152473,0.390208,0.609792,0.043274,0.005094,0.951632,10452,9768,TOLIMA,ROVIRA,4
939,20,383,14989,0.773901,0.226099,0.792715,0.207285,0.305758,0.694242,0.049503,0.004937,0.94556,7773,7216,CESAR,LA GLORIA,1
940,20,400,37356,0.799149,0.200851,0.823937,0.176063,0.316602,0.683398,0.023504,0.002918,0.973579,18683,18673,CESAR,LA JAGUA DE IBIRICO,1
941,20,750,18531,0.800604,0.199396,0.815229,0.184771,0.328908,0.671092,0.063947,0.020614,0.915439,9356,9175,CESAR,SAN DIEGO,1
942,05,306,5057,0.858019,0.141981,0.877002,0.122998,0.370575,0.629425,0.134665,0.003362,0.861974,2605,2452,ANTIOQUIA,GIRALDO,4
943,17,442,8485,0.853153,0.146847,0.876606,0.123394,0.358869,0.641131,0.090159,0.012728,0.897113,4338,4147,CALDAS,MARMATO,4
944,17,446,2081,0.854877,0.145123,0.86593,0.13407,0.423835,0.576165,0.094185,0.006247,0.899568,1101,980,CALDAS,MARULANDA,3
945,17,616,9840,0.839024,0.160976,0.867886,0.132114,0.436687,0.563313,0.09065,0.017276,0.892073,5173,4667,CALDAS,RISARALDA,3
946,17,777,26571,0.873396,0.126604,0.889541,0.110459,0.399947,0.600053,0.121787,0.018253,0.85996,12961,13610,CALDAS,SUPIA,3
947,18,479,3350,0.826567,0.173433,0.853134,0.146866,0.338507,0.661493,0.086269,0.034328,0.879403,1709,1641,CAQUETA,MORELIA,4
948,23,675,29437,0.798111,0.201889,0.817101,0.182899,0.289602,0.710398,0.083127,0.012875,0.903998,14832,14605,CORDOBA,SAN BERNARDO DEL VIENTO,1
949,23,678,23532,0.792368,0.207632,0.808516,0.191484,0.295555,0.704445,0.070797,0.020185,0.909018,12072,11460,CORDOBA,SAN CARLOS,1
950,25,168,3323,0.839302,0.160698,0.844418,0.155582,0.311466,0.688534,0.290099,0.198616,0.511285,1825,1498,CUNDINAMARCA,CHAGUANI,0
951,25,841,6390,0.879186,0.120814,0.891236,0.108764,0.4,0.6,0.164945,0.011894,0.823161,3351,3039,CUNDINAMARCA,UBAQUE,3
952,25,867,3806,0.874672,0.125328,0.886758,0.113242,0.426957,0.573043,0.08907,0.01051,0.90042,1969,1837,CUNDINAMARCA,VIANI,3
953,25,885,10887,0.772022,0.227978,0.78084,0.21916,0.360154,0.639846,0.04611,0.009828,0.944062,5682,5205,CUNDINAMARCA,YACOPI,1
954,25,898,4211,0.874377,0.125623,0.883638,0.116362,0.479934,0.520066,0.301354,0.001187,0.697459,2149,2062,CUNDINAMARCA,ZIPACON,3
955,27,006,12095,0.792063,0.207937,0.817115,0.182885,0.30525,0.69475,0.059859,0.007937,0.932203,6024,6071,CHOCO,ACANDI,1
956,54,553,8139,0.802924,0.197076,0.792849,0.207151,0.421182,0.578818,0.070525,0.014621,0.914854,4022,4117,NORTE DE SANTANDER,PUERTO SANTANDER,4
957,54,673,6677,0.828216,0.171784,0.856223,0.143777,0.307473,0.692527,0.053317,0.014228,0.932455,3384,3293,NORTE DE SANTANDER,SAN CAYETANO,4
958,54,743,5713,0.859793,0.140207,0.879573,0.120427,0.390688,0.609312,0.056538,0.003501,0.939961,2992,2721,NORTE DE SANTANDER,SILOS,4
959,54,871,4602,0.776836,0.223164,0.78292,0.21708,0.277488,0.722512,0.146675,0.005867,0.847458,2337,2265,NORTE DE SANTANDER,VILLA CARO,1
960,73,152,5496,0.825509,0.174491,0.84516,0.15484,0.406295,0.593705,0.021834,0.002183,0.975983,2958,2538,TOLIMA,CASABIANCA,4
961,73,200,7495,0.809473,0.190527,0.843229,0.156771,0.336091,0.663909,0.052435,0.008406,0.939159,3836,3659,TOLIMA,COELLO,4
962,73,217,18999,0.795989,0.204011,0.822517,0.177483,0.237276,0.762724,0.01858,0.002948,0.978473,9767,9232,TOLIMA,COYAIMA,1
963,73,226,7762,0.832904,0.167096,0.855836,0.144164,0.378768,0.621232,0.076398,0.018294,0.905308,4079,3683,TOLIMA,CUNDAY,4
964,73,270,6612,0.832728,0.167272,0.848911,0.151089,0.416818,0.583182,0.09271,0.017544,0.889746,3445,3167,TOLIMA,FALAN,4
965,73,854,4502,0.807419,0.192581,0.822301,0.177699,0.336739,0.663261,0.037317,0.005109,0.957574,2314,2188,TOLIMA,VALLE DE SAN JUAN,1
966,76,054,5008,0.816893,0.183107,0.82528,0.17472,0.424121,0.575879,0.042931,0.003994,0.953075,2646,2362,VALLE DEL CAUCA,ARGELIA,4
967,76,246,6179,0.843017,0.156983,0.857582,0.142418,0.459621,0.540379,0.141285,0.015536,0.843179,3341,2838,VALLE DEL CAUCA,EL CAIRO,3
968,76,275,54207,0.877617,0.122383,0.890033,0.109967,0.42952,0.57048,0.075894,0.013135,0.910971,26379,27828,VALLE DEL CAUCA,FLORIDA,3
969,15,051,5465,0.872827,0.127173,0.891674,0.108326,0.484904,0.515096,0.14785,0.01409,0.83806,2729,2736,BOYACA,ARCABUCO,3
970,15,131,3086,0.868114,0.131886,0.885936,0.114064,0.266688,0.733312,0.152949,0.004213,0.842839,1527,1559,BOYACA,CALDAS,0
971,15,204,12636,0.865622,0.134378,0.906853,0.093147,0.249209,0.750791,0.060858,0.007756,0.931387,7859,4777,BOYACA,COMBITA,0
972,15,276,3186,0.855618,0.144382,0.870684,0.129316,0.223792,0.776208,0.153484,0.010672,0.835844,1505,1681,BOYACA,FLORESTA,0
973,19,533,7125,0.830456,0.169544,0.858807,0.141193,0.345263,0.654737,0.049544,0.019088,0.931368,3674,3451,CAUCA,PIAMONTE,4
974,19,693,9806,0.857332,0.142668,0.889659,0.110341,0.343667,0.656333,0.070569,0.026004,0.903426,4925,4881,CAUCA,SAN SEBASTIAN,4
975,20,045,20477,0.790204,0.209796,0.80754,0.19246,0.274503,0.725497,0.098647,0.034136,0.867217,10441,10036,CESAR,BECERRIL,1
976,20,060,37531,0.803496,0.196504,0.823106,0.176894,0.312142,0.687858,0.059844,0.011644,0.928512,18875,18656,CESAR,BOSCONIA,1
977,25,324,1977,0.846737,0.153263,0.875063,0.124937,0.318665,0.681335,0.121396,0.027314,0.85129,1007,970,CUNDINAMARCA,GUATAQUI,0
978,25,368,2025,0.856296,0.143704,0.86716,0.13284,0.416296,0.583704,0.020247,0.00642,0.973333,1091,934,CUNDINAMARCA,JERUSALEN,4
979,25,483,2101,0.836744,0.163256,0.858163,0.141837,0.36554,0.63446,0.037601,0.003332,0.959067,1092,1009,CUNDINAMARCA,NARIÑO,4
980,25,524,4735,0.867159,0.132841,0.880042,0.119958,0.423865,0.576135,0.102006,0.024921,0.873073,2528,2207,CUNDINAMARCA,PANDI,3
981,25,594,4929,0.845811,0.154189,0.878474,0.121526,0.340028,0.659972,0.073849,0.004869,0.921282,2541,2388,CUNDINAMARCA,QUETAME,4
982,25,612,10788,0.865591,0.134409,0.877364,0.122636,0.45356,0.54644,0.079626,0.002132,0.918242,5454,5334,CUNDINAMARCA,RICAURTE,3
983,25,805,3944,0.85928,0.14072,0.880832,0.119168,0.400609,0.599391,0.128296,0.026623,0.845081,2042,1902,CUNDINAMARCA,TIBACUY,3
984,25,845,6902,0.889163,0.110837,0.902202,0.097798,0.416546,0.583454,0.256737,0.03202,0.711243,3616,3286,CUNDINAMARCA,UNE,3
985,27,150,13189,0.654788,0.345212,0.66328,0.33672,0.21988,0.78012,0.089165,0.016908,0.893927,6935,6254,CHOCO,CARMEN DEL DARIEN,2
986,27,245,7900,0.747342,0.252658,0.751013,0.248987,0.323038,0.676962,0.068228,0.011139,0.920633,3941,3959,CHOCO,EL CARMEN DE ATRATO,1
987,27,810,6590,0.77132,0.22868,0.817147,0.182853,0.308042,0.691958,0.17041,0.045827,0.783763,3238,3352,CHOCO,UNION PANAMERICANA,0
988,41,026,4169,0.78604,0.21396,0.811705,0.188295,0.313504,0.686496,0.10722,0.019429,0.873351,2294,1875,HUILA,ALTAMIRA,1
989,05,107,5946,0.787925,0.212075,0.81147,0.18853,0.215103,0.784897,0.061218,0.037672,0.90111,3071,2875,ANTIOQUIA,BRICE�O,1
990,05,145,4269,0.86929,0.13071,0.899508,0.100492,0.378074,0.621926,0.091591,0.009604,0.898805,2148,2121,ANTIOQUIA,CARAMANTA,4
991,05,647,6295,0.844797,0.155203,0.865131,0.134869,0.343765,0.656235,0.033678,0.004607,0.961716,3227,3068,ANTIOQUIA,SAN ANDRES,4
992,05,658,2952,0.868902,0.131098,0.889905,0.110095,0.392954,0.607046,0.079946,0.014566,0.905488,1424,1528,ANTIOQUIA,SAN JOSE DE LA MONTA�A,4
993,05,659,19992,0.797869,0.202131,0.813776,0.186224,0.266807,0.733193,0.026761,0.001801,0.971439,9904,10088,ANTIOQUIA,SAN JUAN DE URABA,1
994,15,879,2582,0.868319,0.131681,0.897754,0.102246,0.236251,0.763749,0.116189,0.005422,0.878389,1338,1244,BOYACA,VIRACACHA,0
995,17,050,9854,0.852953,0.147047,0.883804,0.116196,0.390907,0.609093,0.11163,0.001827,0.886544,4680,5174,CALDAS,ARANZAZU,4
996,25,339,3311,0.867412,0.132588,0.882513,0.117487,0.438538,0.561462,0.10299,0.047418,0.849592,1768,1543,CUNDINAMARCA,GUTIERREZ,3
997,25,394,7708,0.805267,0.194733,0.809159,0.190841,0.410612,0.589388,0.093409,0.007654,0.898936,3956,3752,CUNDINAMARCA,LA PALMA,4
998,25,486,12198,0.878915,0.121085,0.883833,0.116167,0.485735,0.514265,0.086326,0.006149,0.907526,6036,6162,CUNDINAMARCA,NEMOCON,3
999,25,777,4726,0.872831,0.127169,0.889336,0.110664,0.458739,0.541261,0.102624,0.03851,0.858866,2408,2318,CUNDINAMARCA,SUPATA,3
1000,25,779,6073,0.890499,0.109501,0.903013,0.096987,0.381031,0.618969,0.086942,0.005599,0.907459,3101,2972,CUNDINAMARCA,SUSA,4
1001,25,781,5258,0.854888,0.145112,0.879232,0.120768,0.414797,0.585203,0.116394,0.02016,0.863446,2667,2591,CUNDINAMARCA,SUTATAUSA,3
1002,54,385,11040,0.777899,0.222101,0.797192,0.202808,0.355072,0.644928,0.111504,0.025996,0.8625,5784,5256,NORTE DE SANTANDER,LA ESPERANZA,1
1003,54,480,3891,0.861475,0.138525,0.893601,0.106399,0.302236,0.697764,0.101259,0.020817,0.877923,2024,1867,NORTE DE SANTANDER,MUTISCUA,0
1004,68,322,2052,0.867446,0.132554,0.882066,0.117934,0.350877,0.649123,0.115497,0.004873,0.87963,1070,982,SANTANDER,GUAPOTA,4
1005,68,344,2120,0.817925,0.182075,0.836792,0.163208,0.288208,0.711792,0.074528,0.015566,0.909906,1138,982,SANTANDER,HATO,1
1006,68,370,1163,0.786758,0.213242,0.806535,0.193465,0.426483,0.573517,0.016337,0.00086,0.982803,596,567,SANTANDER,JORDAN,4
1007,73,678,12139,0.821567,0.178433,0.846281,0.153719,0.307933,0.692067,0.063926,0.006261,0.929813,6187,5952,TOLIMA,SAN LUIS,1
1008,73,770,3446,0.819501,0.180499,0.8491,0.1509,0.315438,0.684562,0.039756,0.006965,0.953279,1776,1670,TOLIMA,SUAREZ,1
1009,13,433,26075,0.765331,0.234669,0.797354,0.202646,0.29047,0.70953,0.205599,0.062282,0.732119,13381,12694,BOLIVAR,MAHATES,0
1010,13,654,23576,0.793095,0.206905,0.804123,0.195877,0.260774,0.739226,0.199525,0.023117,0.777358,12071,11505,BOLIVAR,SAN JACINTO,0
1011,25,095,2224,0.856565,0.143435,0.873201,0.126799,0.433004,0.566996,0.033273,0.000899,0.965827,1199,1025,CUNDINAMARCA,BITUIMA,4
1012,25,099,9674,0.882262,0.117738,0.899111,0.100889,0.484908,0.515092,0.139963,0.030597,0.82944,4865,4809,CUNDINAMARCA,BOJACA,3
1013,25,120,4512,0.816046,0.183954,0.831339,0.168661,0.374335,0.625665,0.082225,0.014184,0.90359,2525,1987,CUNDINAMARCA,CABRERA,4
1014,25,288,4849,0.882244,0.117756,0.896886,0.103114,0.425036,0.574964,0.124562,0.010105,0.865333,2391,2458,CUNDINAMARCA,FUQUENE,3
1015,25,317,12405,0.848448,0.151552,0.875937,0.124063,0.365578,0.634422,0.103265,0.001612,0.895123,6319,6086,CUNDINAMARCA,GUACHETA,4
1016,25,580,2525,0.827723,0.172277,0.848713,0.151287,0.419802,0.580198,0.033267,0.005545,0.961188,1354,1171,CUNDINAMARCA,PULI,4
1017,25,592,4453,0.841231,0.158769,0.860768,0.139232,0.402425,0.597575,0.095666,0.014597,0.889737,2355,2098,CUNDINAMARCA,QUEBRADANEGRA,4
1018,27,050,5519,0.741801,0.258199,0.770792,0.229208,0.290995,0.709005,0.10328,0.031709,0.865012,2792,2727,CHOCO,ATRATO,1
1019,27,077,18561,0.624481,0.375519,0.652713,0.347287,0.185874,0.814126,0.063197,0.01918,0.917623,9416,9145,CHOCO,BAJO BAUDO,2
1020,68,720,3166,0.82849,0.17151,0.840177,0.159823,0.380922,0.619078,0.056854,0.014214,0.928932,1671,1495,SANTANDER,SANTA HELENA DEL OPON,4
1021,70,221,17091,0.725587,0.274413,0.746182,0.253818,0.273477,0.726523,0.091042,0.028787,0.880171,9617,7474,SUCRE,COVE�AS,1
1022,70,702,13437,0.796234,0.203766,0.828012,0.171988,0.299695,0.700305,0.090496,0.017489,0.892015,6899,6538,SUCRE,SAN JUAN DE BETULIA,1
1023,76,895,39343,0.877132,0.122868,0.891874,0.108126,0.425362,0.574638,0.095748,0.012785,0.891467,18660,20683,VALLE DEL CAUCA,ZARZAL,3
1024,81,591,4169,0.809067,0.190933,0.822499,0.177501,0.370592,0.629408,0.065483,0.064524,0.869993,2161,2008,ARAUCA,PUERTO RONDON,4
1025,85,010,33440,0.844916,0.155084,0.857955,0.142045,0.389474,0.610526,0.097548,0.03119,0.871262,16813,16627,CASANARE,AGUAZUL,4
1026,05,483,8603,0.804836,0.195164,0.850052,0.149948,0.369755,0.630245,0.095781,0.015227,0.888992,4415,4188,ANTIOQUIA,NARIÑO,4
1027,05,541,18010,0.890172,0.109828,0.910827,0.089173,0.415936,0.584064,0.084009,0.005886,0.910105,8764,9246,ANTIOQUIA,PE�OL,3
1028,94,886,839,0.573302,0.426698,0.802145,0.197855,0.179976,0.820024,0.071514,0.010727,0.917759,429,410,GUAINIA,CACAHUAL,2
1029,15,092,1895,0.864908,0.135092,0.876517,0.123483,0.237995,0.762005,0.130343,0.01847,0.851187,939,956,BOYACA,BETEITIVA,0
1030,91,530,681,0.703377,0.296623,0.750367,0.249633,0.111601,0.888399,0.098385,0.116006,0.785609,376,305,AMAZONAS,PUERTO ALEGRIA,2
1031,05,086,5349,0.855113,0.144887,0.888764,0.111236,0.395775,0.604225,0.075154,0.017947,0.906898,2719,2630,ANTIOQUIA,BELMIRA,4
1032,05,091,8589,0.808825,0.191175,0.832926,0.167074,0.378391,0.621609,0.11049,0.015136,0.874374,4477,4112,ANTIOQUIA,BETANIA,4
1033,05,501,2719,0.824568,0.175432,0.858772,0.141228,0.37477,0.62523,0.0548,0.002942,0.942258,1386,1333,ANTIOQUIA,OLAYA,4
1034,05,576,7202,0.82241,0.17759,0.853235,0.146765,0.361011,0.638989,0.119828,0.006943,0.87323,3609,3593,ANTIOQUIA,PUEBLORRICO,4
1035,25,328,3604,0.878191,0.121809,0.88485,0.11515,0.357103,0.642897,0.090455,0.008602,0.900943,1824,1780,CUNDINAMARCA,GUAYABAL DE  SIQUIMA,4
1036,25,335,5809,0.843519,0.156481,0.867964,0.132036,0.407988,0.592012,0.039422,0.003443,0.957135,3009,2800,CUNDINAMARCA,GUAYABETAL,4
1037,25,535,8686,0.86956,0.13044,0.88706,0.11294,0.447041,0.552959,0.084158,0.008404,0.907437,4510,4176,CUNDINAMARCA,PASCA,3
1038,25,653,4043,0.866188,0.133812,0.87905,0.12095,0.469453,0.530547,0.05491,0.003463,0.941628,2146,1897,CUNDINAMARCA,SAN CAYETANO,3
1039,68,176,2364,0.822758,0.177242,0.83714,0.16286,0.286802,0.713198,0.054992,0.010998,0.93401,1230,1134,SANTANDER,CHIMA,1
1040,68,207,5300,0.854906,0.145094,0.864151,0.135849,0.260377,0.739623,0.129623,0.018491,0.851887,2685,2615,SANTANDER,CONCEPCION,0
1041,15,600,7312,0.841083,0.158917,0.86529,0.13471,0.488239,0.511761,0.029267,0.00424,0.966493,3859,3453,BOYACA,RAQUIRA,3
1042,23,580,35362,0.772157,0.227843,0.801651,0.198349,0.267462,0.732538,0.079068,0.022765,0.898168,18330,17032,CORDOBA,PUERTO LIBERTADOR,1
1043,25,086,1720,0.831977,0.168023,0.869186,0.130814,0.309302,0.690698,0.047674,0.004651,0.947674,900,820,CUNDINAMARCA,BELTRAN,4
1044,68,673,2706,0.842572,0.157428,0.859571,0.140429,0.387288,0.612712,0.068736,0.004065,0.927199,1463,1243,SANTANDER,SAN BENITO,4
1045,68,684,4153,0.853118,0.146882,0.869251,0.130749,0.352998,0.647002,0.116783,0.028895,0.854322,2152,2001,SANTANDER,SAN JOSE DE MIRANDA,4
1046,76,869,10766,0.875627,0.124373,0.897269,0.102731,0.428014,0.571986,0.073379,0.002136,0.924484,5437,5329,VALLE DEL CAUCA,VIJES,3
1047,76,890,15325,0.883524,0.116476,0.893442,0.106558,0.437129,0.562871,0.160065,0.027471,0.812463,7665,7660,VALLE DEL CAUCA,YOTOCO,3
1048,05,040,14502,0.808509,0.191491,0.834712,0.165288,0.354158,0.645842,0.093504,0.01848,0.888015,7504,6998,ANTIOQUIA,ANORI,4
1049,05,480,12607,0.737051,0.262949,0.763623,0.236377,0.344253,0.655747,0.066471,0.020861,0.912668,6403,6204,ANTIOQUIA,MUTATA,1
1050,15,533,2061,0.801553,0.198447,0.823387,0.176613,0.189714,0.810286,0.064047,0.008734,0.92722,1099,962,BOYACA,PAYA,1
1051,27,745,2768,0.685694,0.314306,0.733382,0.266618,0.283598,0.716402,0.113078,0.067919,0.819003,1489,1279,CHOCO,SIPI,2
1052,52,022,6872,0.882858,0.117142,0.90585,0.09415,0.381403,0.618597,0.128783,0.010768,0.860448,3316,3556,NARIÑO,ALDANA,3
1053,52,036,7481,0.87876,0.12124,0.890255,0.109745,0.436305,0.563695,0.186071,0.015773,0.798155,3833,3648,NARIÑO,ANCUYA,3
1054,52,051,7626,0.825072,0.174928,0.858117,0.141883,0.250066,0.749934,0.05796,0.003934,0.938106,3851,3775,NARIÑO,ARBOLEDA,1
1055,52,203,7764,0.818908,0.181092,0.838485,0.161515,0.371072,0.628928,0.111154,0.009531,0.879315,3970,3794,NARIÑO,COLON,4
1056,66,572,14429,0.650634,0.349366,0.708573,0.291427,0.248111,0.751889,0.057731,0.011366,0.930903,7291,7138,RISARALDA,PUEBLO RICO,2
1057,68,152,4130,0.840678,0.159322,0.854479,0.145521,0.238015,0.761985,0.116223,0.068039,0.815738,2211,1919,SANTANDER,CARCASI,0
1058,68,160,1869,0.871054,0.128946,0.873194,0.126806,0.438202,0.561798,0.087747,0.011771,0.900482,963,906,SANTANDER,CEPITA,3
1059,13,580,5335,0.775633,0.224367,0.812933,0.187067,0.298219,0.701781,0.070665,0.009747,0.919588,2693,2642,BOLIVAR,REGIDOR,1
1060,97,777,432,0.701389,0.298611,0.726852,0.273148,0.043981,0.956019,0.009259,0.050926,0.939815,239,193,VAUPES,PAPUNAUA,2
1061,68,162,6460,0.851084,0.148916,0.862229,0.137771,0.330031,0.669969,0.05743,0.014861,0.927709,3402,3058,SANTANDER,CERRITO,4
1062,15,518,1941,0.839773,0.160227,0.853168,0.146832,0.421432,0.578568,0.131376,0.006182,0.862442,1002,939,BOYACA,PAJARITO,3
1063,15,537,4047,0.877687,0.122313,0.893996,0.106004,0.372375,0.627625,0.095873,0.004448,0.899679,1990,2057,BOYACA,PAZ DE RIO,4
1064,85,263,10675,0.835785,0.164215,0.851241,0.148759,0.284215,0.715785,0.117564,0.042436,0.84,5495,5180,CASANARE,PORE,0
1065,85,315,1675,0.830448,0.169552,0.845373,0.154627,0.360597,0.639403,0.05791,0.00597,0.936119,862,813,CASANARE,SACAMA,4
1066,88,564,4545,0.906051,0.093949,0.918152,0.081848,0.571617,0.428383,0.029483,0.011441,0.959076,2212,2333,ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,PROVIDENCIA,3
1067,05,038,10500,0.803333,0.196667,0.835238,0.164762,0.34819,0.65181,0.124952,0.026095,0.848952,5327,5173,ANTIOQUIA,ANGOSTURA,0
1068,05,059,3819,0.787903,0.212097,0.809898,0.190102,0.374967,0.625033,0.070961,0.007332,0.921707,1912,1907,ANTIOQUIA,ARMENIA,4
1069,05,313,9204,0.821273,0.178727,0.862777,0.137223,0.374076,0.625924,0.12462,0.012495,0.862886,4565,4639,ANTIOQUIA,GRANADA,4
1070,05,425,7297,0.827463,0.172537,0.855146,0.144854,0.406194,0.593806,0.082226,0.010141,0.907633,3647,3650,ANTIOQUIA,MACEO,4
1071,05,604,22530,0.812162,0.187838,0.826986,0.173014,0.379361,0.620639,0.040302,0.004838,0.95486,11254,11276,ANTIOQUIA,REMEDIOS,4
1072,05,665,30527,0.796836,0.203164,0.818358,0.181642,0.28352,0.71648,0.065057,0.006912,0.928031,15708,14819,ANTIOQUIA,SAN PEDRO DE URABA,1
1073,52,233,5096,0.863226,0.136774,0.87814,0.12186,0.333595,0.666405,0.079474,0.005691,0.914835,2597,2499,NARIÑO,CUMBITARA,4
1074,52,720,7041,0.863088,0.136912,0.879421,0.120579,0.269848,0.730152,0.140605,0.003835,0.85556,3519,3522,NARIÑO,SAPUYES,0
1075,68,245,1643,0.858795,0.141205,0.867925,0.132075,0.446135,0.553865,0.152769,0.007304,0.839927,823,820,SANTANDER,EL GUACAMAYO,3
1076,68,250,4097,0.795948,0.204052,0.804979,0.195021,0.42104,0.57896,0.028557,0.004638,0.966805,2184,1913,SANTANDER,EL PE�ON,4
1077,73,547,5574,0.839612,0.160388,0.858809,0.141191,0.380517,0.619483,0.101363,0.013276,0.885361,2933,2641,TOLIMA,PIEDRAS,4
1078,73,870,8530,0.83388,0.16612,0.848417,0.151583,0.390504,0.609496,0.13857,0.009496,0.851934,4492,4038,TOLIMA,VILLAHERMOSA,4
1079,94,663,1011,0.641939,0.358061,0.739862,0.260138,0.013848,0.986152,0.018793,0.002967,0.978239,543,468,GUAINIA,MAPIRIPANA,2
1080,76,497,10970,0.851322,0.148678,0.864175,0.135825,0.380036,0.619964,0.167912,0.017867,0.814221,5433,5537,VALLE DEL CAUCA,OBANDO,0
1081,76,670,15450,0.879094,0.120906,0.89055,0.10945,0.403172,0.596828,0.102654,0.013398,0.883948,7631,7819,VALLE DEL CAUCA,SAN PEDRO,3
1082,76,863,6233,0.854324,0.145676,0.866677,0.133323,0.379753,0.620247,0.111182,0.021659,0.867159,3082,3151,VALLE DEL CAUCA,VERSALLES,4
1083,81,220,3644,0.81888,0.18112,0.822173,0.177827,0.238749,0.761251,0.060373,0.024149,0.915477,1904,1740,ARAUCA,CRAVO NORTE,1
1084,15,332,3921,0.699821,0.300179,0.716399,0.283601,0.27748,0.72252,0.086713,0.03137,0.881918,1970,1951,BOYACA,GUICAN,2
1085,86,757,14054,0.828305,0.171695,0.849865,0.150135,0.347374,0.652626,0.117191,0.021915,0.860894,7175,6879,PUTUMAYO,SAN MIGUEL,4
1086,94,885,222,0.626126,0.373874,0.792793,0.207207,0.157658,0.842342,0.045045,0.013514,0.941441,118,104,GUAINIA,LA GUADALUPE,2
1087,97,889,756,0.664021,0.335979,0.87037,0.12963,0.035714,0.964286,0.025132,0.026455,0.948413,394,362,VAUPES,YAVARATE,2
1088,97,001,27709,0.722906,0.277094,0.843372,0.156628,0.122596,0.877404,0.034754,0.026453,0.938792,14494,13215,VAUPES,MITU,2
1089,97,161,2827,0.681995,0.318005,0.798373,0.201627,0.068978,0.931022,0.045985,0.027945,0.92607,1530,1297,VAUPES,CARURU,2
1090,97,511,3956,0.593023,0.406977,0.728514,0.271486,0.008342,0.991658,0.017189,0.03817,0.944641,2090,1866,VAUPES,PACOA,2
1091,97,666,2010,0.643781,0.356219,0.753234,0.246766,0.047761,0.952239,0.010945,0.006965,0.98209,1046,964,VAUPES,TARAIRA,2
1092,13,268,7234,0.75629,0.24371,0.797346,0.202654,0.245369,0.754631,0.111418,0.073542,0.81504,3812,3422,BOLIVAR,EL PE�ON,1
1093,13,300,11770,0.72294,0.27706,0.780799,0.219201,0.261512,0.738488,0.127867,0.070858,0.801274,6055,5715,BOLIVAR,HATILLO DE LOBA,1
1094,13,440,9720,0.782716,0.217284,0.80216,0.19784,0.294342,0.705658,0.126852,0.064918,0.80823,5066,4654,BOLIVAR,MARGARITA,1
1095,13,458,13470,0.764811,0.235189,0.800445,0.199555,0.360876,0.639124,0.133927,0.109651,0.756422,7390,6080,BOLIVAR,MONTECRISTO,0
1096,13,473,18678,0.810205,0.189795,0.817807,0.182193,0.310954,0.689046,0.049952,0.02693,0.923118,9972,8706,BOLIVAR,MORALES,1
1097,13,549,23349,0.776607,0.223393,0.79845,0.20155,0.249176,0.750824,0.023727,0.000942,0.975331,12312,11037,BOLIVAR,PINILLOS,1
1098,05,209,16095,0.782541,0.217459,0.808823,0.191177,0.348804,0.651196,0.08456,0.006151,0.909289,8022,8073,ANTIOQUIA,CONCORDIA,1
1099,05,212,76479,0.909622,0.090378,0.920867,0.079133,0.505446,0.494554,0.124348,0.01607,0.859582,37084,39395,ANTIOQUIA,COPACABANA,3
1100,05,234,22717,0.708104,0.291896,0.729278,0.270722,0.333935,0.666065,0.037989,0.011665,0.950346,11546,11171,ANTIOQUIA,DABEIBA,1
