,u_dpto,u_mpio,poblacion,alfabetizacion,analfabetismo,escolarizado,descolarizado,remunerado,no_remunerado,atencion_formal,atencion_informal,no_necesita_atencion,sexo_m,sexo_f,departamento,municipio,labels
793,27,580,4525,0.672486,0.327514,0.701436,0.298564,0.176796,0.823204,0.028508,0.047293,0.924199,2241,2284,CHOCO,RIO IRO,2
794,27,600,7974,0.674317,0.325683,0.725984,0.274016,0.283421,0.716579,0.054051,0.020567,0.925382,3817,4157,CHOCO,RIO QUITO,2
795,27,660,4721,0.706206,0.293794,0.722305,0.277695,0.394196,0.605804,0.039187,0.015675,0.945139,2437,2284,CHOCO,SAN JOSE DEL PALMAR,1
796,27,800,12192,0.737779,0.262221,0.759186,0.240814,0.286007,0.713993,0.092602,0.029774,0.877625,6290,5902,CHOCO,UNGUIA,1
797,41,006,24562,0.844964,0.155036,0.863203,0.136797,0.353391,0.646609,0.073243,0.011196,0.915561,12744,11818,HUILA,ACEVEDO,4
798,41,378,12475,0.843046,0.156954,0.861884,0.138116,0.331623,0.668377,0.063407,0.024449,0.912144,6340,6135,HUILA,LA ARGENTINA,4
799,47,030,14294,0.769694,0.230306,0.799356,0.200644,0.295509,0.704491,0.117882,0.050651,0.831468,7428,6866,MAGDALENA,ALGARROBO,1
800,47,161,9225,0.718591,0.281409,0.763035,0.236965,0.330407,0.669593,0.061138,0.010407,0.928455,4775,4450,MAGDALENA,CERRO SAN ANTONIO,1
801,47,170,18208,0.780152,0.219848,0.804536,0.195464,0.311841,0.688159,0.014334,0.002746,0.98292,9719,8489,MAGDALENA,CHIVOLO,1
802,47,205,9681,0.748373,0.251627,0.764384,0.235616,0.263196,0.736804,0.034707,0.007231,0.958062,5114,4567,MAGDALENA,CONCORDIA,1
803,47,258,17308,0.752369,0.247631,0.781084,0.218916,0.298012,0.701988,0.113127,0.019009,0.867865,9033,8275,MAGDALENA,EL PI�ON,1
804,47,268,19345,0.754769,0.245231,0.808478,0.191522,0.252985,0.747015,0.051331,0.001964,0.946705,9927,9418,MAGDALENA,EL RETEN,1
805,47,541,7569,0.770776,0.229224,0.794425,0.205575,0.279826,0.720174,0.002114,0.000132,0.997754,3967,3602,MAGDALENA,PEDRAZA,1
806,47,545,11071,0.777437,0.222563,0.81158,0.18842,0.2549,0.7451,0.10514,0.020775,0.874085,5738,5333,MAGDALENA,PIJI�O DEL CARMEN,1
807,47,570,26419,0.763958,0.236042,0.800825,0.199175,0.26886,0.73114,0.076422,0.012718,0.91086,13510,12909,MAGDALENA,PUEBLOVIEJO,1
808,47,605,9555,0.765044,0.234956,0.790058,0.209942,0.356358,0.643642,0.029513,0.000314,0.970173,4972,4583,MAGDALENA,REMOLINO,1
809,47,675,9360,0.801923,0.198077,0.758547,0.241453,0.280769,0.719231,0.120192,0.01656,0.863248,4765,4595,MAGDALENA,SALAMINA,1
810,47,692,18865,0.787172,0.212828,0.817281,0.182719,0.217546,0.782454,0.024172,0.012934,0.962894,9700,9165,MAGDALENA,SAN SEBASTIAN DE BUENAVISTA,1
811,47,720,9345,0.773034,0.226966,0.824291,0.175709,0.295238,0.704762,0.069877,0.012734,0.917389,4816,4529,MAGDALENA,SANTA BARBARA DE PINTO,1
812,47,745,25804,0.738955,0.261045,0.768369,0.231631,0.20772,0.79228,0.021004,0.005426,0.97357,13417,12387,MAGDALENA,SITIONUEVO,2
813,13,600,8125,0.787446,0.212554,0.806769,0.193231,0.288985,0.711015,0.098338,0.008492,0.893169,4290,3835,BOLIVAR,RIO VIEJO,1
814,15,162,3636,0.89659,0.10341,0.914741,0.085259,0.319032,0.680968,0.239824,0.05308,0.707096,1755,1881,BOYACA,CERINZA,0
815,15,401,956,0.82636,0.17364,0.845188,0.154812,0.388075,0.611925,0.029289,0.002092,0.968619,504,452,BOYACA,LA VICTORIA,4
816,47,798,12364,0.771514,0.228486,0.794565,0.205435,0.306292,0.693708,0.067454,0.015529,0.917017,6564,5800,MAGDALENA,TENERIFE,1
817,47,960,8606,0.759586,0.240414,0.790495,0.209505,0.308738,0.691262,0.069603,0.008715,0.921683,4548,4058,MAGDALENA,ZAPAYAN,1
818,52,210,6421,0.865753,0.134247,0.89363,0.10637,0.312101,0.687899,0.105591,0.00732,0.887089,3179,3242,NARIÑO,CONTADERO,0
819,52,215,14827,0.854387,0.145613,0.877116,0.122884,0.356444,0.643556,0.120793,0.007554,0.871653,7157,7670,NARIÑO,CORDOBA,4
820,52,224,8975,0.875209,0.124791,0.884568,0.115432,0.273538,0.726462,0.0839,0.000891,0.915209,4403,4572,NARIÑO,CUASPUD,0
821,52,227,32672,0.854983,0.145017,0.873868,0.126132,0.326457,0.673543,0.065469,0.00254,0.931991,15996,16676,NARIÑO,CUMBAL,4
822,52,250,21071,0.67059,0.32941,0.712638,0.287362,0.282806,0.717194,0.0859,0.026529,0.887571,10660,10411,NARIÑO,EL CHARCO,2
823,52,256,6498,0.83872,0.16128,0.857495,0.142505,0.291474,0.708526,0.109264,0.027701,0.863035,3295,3203,NARIÑO,EL ROSARIO,0
824,52,317,18845,0.860016,0.139984,0.866012,0.133988,0.308464,0.691536,0.065747,0.004935,0.929318,9112,9733,NARIÑO,GUACHUCAL,4
825,52,320,10774,0.875255,0.124745,0.905235,0.094765,0.411361,0.588639,0.157045,0.014015,0.82894,5386,5388,NARIÑO,GUAITARILLA,3
826,52,323,6290,0.894436,0.105564,0.917647,0.082353,0.318442,0.681558,0.133227,0.010652,0.856121,2994,3296,NARIÑO,GUALMATAN,0
